物品コード,物品名,カテゴリ,提供価格,,
,,,生徒販売価格,,
111-127963-11,文章の読解スキルが身につく　アドバンス,教材,"¥1,012",,
,説明文を開く,,"¥1,417",,
,改訂:2021/02,,,,
111-128305-11,夏期　ジュニア新演習　小2　国語　XT,教材,¥770,,
,改訂:2021/02,,"¥1,078",,
111-128306-11,夏期　ジュニア新演習　小2　算数　XT,教材,¥770,,
,改訂:2021/02,,"¥1,078",,
111-128307-11,夏期　ジュニア新演習　小3　国語　XT,教材,¥770,,
,改訂:2021/02,,"¥1,078",,
111-128308-11,夏期　ジュニア新演習　小3　算数　XT,教材,¥770,,
,改訂:2021/02,,"¥1,078",,
111-128309-11,夏期　標準新演習　小3　国語　XT,教材,¥770,,
,改訂:2021/02,,"¥1,078",,
111-128310-11,夏期　標準新演習　小3　算数　XT,教材,¥770,,
,改訂:2021/02,,"¥1,078",,
111-128311-11,夏期　標準新演習　小4　国語　XT,教材,¥770,,
,改訂:2021/02,,"¥1,078",,
111-128312-11,夏期　標準新演習　小4　算数　XT,教材,¥770,,
,改訂:2021/02,,"¥1,078",,
111-128313-11,夏期　標準新演習　小5　国語　XT,教材,¥770,,
,改訂:2021/02,,"¥1,078",,
111-128314-11,夏期　標準新演習　小5　算数　XT,教材,¥770,,
,改訂:2021/02,,"¥1,078",,
111-128315-11,夏期　標準新演習　小6　国語　XT,教材,¥770,,
,改訂:2021/02,,"¥1,078",,
111-128316-11,夏期　標準新演習　小6　算数　XT,教材,¥770,,
,改訂:2021/02,,"¥1,078",,
111-128317-11,夏期　標準新演習　小6　理科　XT,教材,¥770,,
,改訂:2021/02,,"¥1,078",,
111-128326-11,夏期　標準新演習　小5　英語　XT,教材,¥770,,
,改訂:2021/02,,"¥1,078",,
111-128327-11,夏期　標準新演習　小6　英語　XT,教材,¥770,,
,改訂:2021/02,,"¥1,078",,
111-129098-11,冬期　ジュニア新演習　小2　国語　XT,教材,¥770,,
,説明文を開く,,"¥1,078",,
,改訂:2020/10,,,,
111-129099-11,冬期　ジュニア新演習　小2　算数　XT,教材,¥770,,
,説明文を開く,,"¥1,078",,
,改訂:2020/10,,,,
111-129100-11,冬期　標準新演習　小3　国語　XT,教材,¥682,,
,説明文を開く,,¥955,,
,改訂:2020/10,,,,
111-129101-11,冬期　標準新演習　小3　算数　XT,教材,¥682,,
,説明文を開く,,¥955,,
,改訂:2020/10,,,,
111-129102-11,冬期　標準新演習　小4　国語　XT,教材,¥682,,
,説明文を開く,,¥955,,
,改訂:2020/10,,,,
111-129103-11,冬期　標準新演習　小4　算数　XT,教材,¥682,,
,説明文を開く,,¥955,,
,改訂:2020/10,,,,
111-129104-11,冬期　標準新演習　小5　国語　XT,教材,¥682,,
,説明文を開く,,¥955,,
,改訂:2020/10,,,,
111-129105-11,冬期　標準新演習　小5　算数　XT,教材,¥682,,
,説明文を開く,,¥955,,
,改訂:2020/10,,,,
111-129106-11,冬期　標準新演習　小5　英語,教材,¥682,,
,説明文を開く,,¥955,,
111-129107-11,冬期　標準新演習　小6　国語,教材,¥682,,
,説明文を開く,,¥955,,
,改訂:2020/10,,,,
111-129108-11,冬期　標準新演習　小6　算数　XT,教材,¥682,,
,説明文を開く,,¥955,,
,改訂:2020/10,,,,
111-129109-11,冬期　標準新演習　小6　英語　XT,教材,¥682,,
,説明文を開く,,¥955,,
111-129110-11,冬期　標準新演習　小6　理科　XT,教材,¥682,,
,説明文を開く,,¥955,,
,改訂:2020/10,,,,
111-129111-11,冬期　標準新演習　小6　社会　XT,教材,¥682,,
,説明文を開く,,¥955,,
,改訂:2020/10,,,,
111-130213-11,春期　発展新演習　中２　国語　XU,教材,¥880,,
,改訂:2021/02,,"¥1,232",,
111-130214-11,春期　発展新演習　中２　数学　XU,教材,¥880,,
,改訂:2021/02,,"¥1,232",,
111-130216-11,春期　発展新演習　中３　国語　XU,教材,¥880,,
,改訂:2021/02,,"¥1,232",,
111-130217-11,春期　発展新演習　中３　数学　XU,教材,¥880,,
,改訂:2021/02,,"¥1,232",,
111-130219-11,春期　中学受験新演習　小４国語　XU,教材,¥792,,
,改訂:2021/02,,"¥1,109",,
111-130220-11,春期　中学受験新演習　小４算数　XU,教材,¥792,,
,改訂:2021/02,,"¥1,109",,
111-130221-11,春期　中学受験新演習　小４理科　XU,教材,¥792,,
,改訂:2021/02,,"¥1,109",,
111-129968-11,中学受験新演習　小４上　国語,教材,"¥2,860",,
,説明文を開く,,"¥3,432",,
,改訂:2021/02,,,,
111-129969-11,中学受験新演習　小４上　算数,教材,"¥2,860",,
,説明文を開く,,"¥3,432",,
,改訂:2021/02,,,,
111-129970-11,中学受験新演習　小４上　理科,教材,"¥2,860",,
,説明文を開く,,"¥3,432",,
,改訂:2021/02,,,,
111-129972-11,中学受験新演習　漢字日記　小４上,教材,"¥1,078",,
,説明文を開く,,"¥1,509",,
,改訂:2021/02,,,,
111-129973-11,中学受験新演習　計算日記　小４上,教材,"¥1,078",,
,説明文を開く,,"¥1,509",,
,改訂:2021/02,,,,
111-129997-11,毎日の計算トレーニング Book１,教材,"¥1,298",,
,説明文を開く,,"¥1,558",,
,改訂:2021/02,,,,
111-129998-11,毎日の計算トレーニング Book２,教材,"¥1,298",,
,説明文を開く,,"¥1,558",,
,改訂:2021/02,,,,
111-129999-11,毎日の計算トレーニング Book３,教材,"¥1,298",,
,説明文を開く,,"¥1,558",,
,改訂:2021/02,,,,
111-130114-11,キーワードマスター　理科,教材,¥924,,
,説明文を開く,,"¥1,294",,
,改訂:2021/02,,,,
111-130115-11,キーワードマスター　社会,教材,¥924,,
,説明文を開く,,"¥1,294",,
,改訂:2021/02,,,,
111-130121-11,ゲットスルー2600,教材,"¥1,144",,
,改訂:2021/02,,"¥1,373",,
111-130534-11,夏期　発展新演習　中1　国語　XU,教材,¥946,,
,説明文を開く,,"¥1,324",,
,改訂:2021/06,,,,
111-130535-11,夏期　発展新演習　中1　数学　XU,教材,¥946,,
,説明文を開く,,"¥1,324",,
,改訂:2021/06,,,,
111-130537-11,夏期　発展新演習　中2　国語　XU,教材,¥946,,
,説明文を開く,,"¥1,324",,
,改訂:2021/06,,,,
111-130538-11,夏期　発展新演習　中2　数学　XU,教材,¥946,,
,説明文を開く,,"¥1,324",,
,改訂:2021/06,,,,
111-130540-11,夏期　発展新演習　中3　国語　XU,教材,¥946,,
,説明文を開く,,"¥1,324",,
,改訂:2021/06,,,,
111-130541-11,夏期　発展新演習　中3　数学　XU,教材,¥946,,
,説明文を開く,,"¥1,324",,
,改訂:2021/06,,,,
111-130543-11,夏期　中学受験新演習　小4　国語　XU,教材,¥990,,
,説明文を開く,,"¥1,386",,
,改訂:2021/06,,,,
111-130544-11,夏期　中学受験新演習　小4　算数　XU,教材,¥990,,
